step_time: 0:00:00.021155 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 4/821 5650

step_time: 0:00:00.450886 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 1/821 5682

step_time: 0:00:00.471643 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 1/821 5714

step_time: 0:00:00.500161 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 1/821 5752

step_time: 0:00:00.882245 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 1/822 5787

step_time: 0:00:00.371230 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 2/822 5811

step_time: 0:00:00.370338 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 1/822 5835

step_time: 0:00:00.403020 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.40 0.75 0.36 2/536 3001

step_time: 0:00:00.404740 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.40 0.75 0.36 1/536 3025

step_time: 0:00:00.392890 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.44 0.76 0.37 1/536 3049

